,PNG,MASK
0,/root/StrokeDataset/Bleeding/PNG/10002.png,/root/StrokeDataset/Bleeding/MASK/10002.npy
1,/root/StrokeDataset/Bleeding/PNG/10033.png,/root/StrokeDataset/Bleeding/MASK/10033.npy
2,/root/StrokeDataset/Bleeding/PNG/10036.png,/root/StrokeDataset/Bleeding/MASK/10036.npy
3,/root/StrokeDataset/Bleeding/PNG/10039.png,/root/StrokeDataset/Bleeding/MASK/10039.npy
4,/root/StrokeDataset/Bleeding/PNG/10045.png,/root/StrokeDataset/Bleeding/MASK/10045.npy
5,/root/StrokeDataset/Bleeding/PNG/10046.png,/root/StrokeDataset/Bleeding/MASK/10046.npy
6,/root/StrokeDataset/Bleeding/PNG/10047.png,/root/StrokeDataset/Bleeding/MASK/10047.npy
7,/root/StrokeDataset/Bleeding/PNG/10049.png,/root/StrokeDataset/Bleeding/MASK/10049.npy
8,/root/StrokeDataset/Bleeding/PNG/10050.png,/root/StrokeDataset/Bleeding/MASK/10050.npy
9,/root/StrokeDataset/Bleeding/PNG/10052.png,/root/StrokeDataset/Bleeding/MASK/10052.npy
10,/root/StrokeDataset/Bleeding/PNG/10063.png,/root/StrokeDataset/Bleeding/MASK/10063.npy
11,/root/StrokeDataset/Bleeding/PNG/10067.png,/root/StrokeDataset/Bleeding/MASK/10067.npy
12,/root/StrokeDataset/Bleeding/PNG/10068.png,/root/StrokeDataset/Bleeding/MASK/10068.npy
13,/root/StrokeDataset/Bleeding/PNG/10075.png,/root/StrokeDataset/Bleeding/MASK/10075.npy
14,/root/StrokeDataset/Bleeding/PNG/10078.png,/root/StrokeDataset/Bleeding/MASK/10078.npy
15,/root/StrokeDataset/Bleeding/PNG/10094.png,/root/StrokeDataset/Bleeding/MASK/10094.npy
16,/root/StrokeDataset/Bleeding/PNG/10113.png,/root/StrokeDataset/Bleeding/MASK/10113.npy
17,/root/StrokeDataset/Bleeding/PNG/10116.png,/root/StrokeDataset/Bleeding/MASK/10116.npy
18,/root/StrokeDataset/Bleeding/PNG/10120.png,/root/StrokeDataset/Bleeding/MASK/10120.npy
19,/root/StrokeDataset/Bleeding/PNG/10134.png,/root/StrokeDataset/Bleeding/MASK/10134.npy
20,/root/StrokeDataset/Bleeding/PNG/10143.png,/root/StrokeDataset/Bleeding/MASK/10143.npy
21,/root/StrokeDataset/Bleeding/PNG/10146.png,/root/StrokeDataset/Bleeding/MASK/10146.npy
22,/root/StrokeDataset/Bleeding/PNG/10150.png,/root/StrokeDataset/Bleeding/MASK/10150.npy
23,/root/StrokeDataset/Bleeding/PNG/10154.png,/root/StrokeDataset/Bleeding/MASK/10154.npy
24,/root/StrokeDataset/Bleeding/PNG/10155.png,/root/StrokeDataset/Bleeding/MASK/10155.npy
25,/root/StrokeDataset/Bleeding/PNG/10156.png,/root/StrokeDataset/Bleeding/MASK/10156.npy
26,/root/StrokeDataset/Bleeding/PNG/10190.png,/root/StrokeDataset/Bleeding/MASK/10190.npy
27,/root/StrokeDataset/Bleeding/PNG/10194.png,/root/StrokeDataset/Bleeding/MASK/10194.npy
28,/root/StrokeDataset/Bleeding/PNG/10210.png,/root/StrokeDataset/Bleeding/MASK/10210.npy
29,/root/StrokeDataset/Bleeding/PNG/10214.png,/root/StrokeDataset/Bleeding/MASK/10214.npy
30,/root/StrokeDataset/Bleeding/PNG/10222.png,/root/StrokeDataset/Bleeding/MASK/10222.npy
31,/root/StrokeDataset/Bleeding/PNG/10223.png,/root/StrokeDataset/Bleeding/MASK/10223.npy
32,/root/StrokeDataset/Bleeding/PNG/10234.png,/root/StrokeDataset/Bleeding/MASK/10234.npy
33,/root/StrokeDataset/Bleeding/PNG/10245.png,/root/StrokeDataset/Bleeding/MASK/10245.npy
34,/root/StrokeDataset/Bleeding/PNG/10250.png,/root/StrokeDataset/Bleeding/MASK/10250.npy
35,/root/StrokeDataset/Bleeding/PNG/10253.png,/root/StrokeDataset/Bleeding/MASK/10253.npy
36,/root/StrokeDataset/Bleeding/PNG/10258.png,/root/StrokeDataset/Bleeding/MASK/10258.npy
37,/root/StrokeDataset/Bleeding/PNG/10261.png,/root/StrokeDataset/Bleeding/MASK/10261.npy
38,/root/StrokeDataset/Bleeding/PNG/10265.png,/root/StrokeDataset/Bleeding/MASK/10265.npy
39,/root/StrokeDataset/Bleeding/PNG/10271.png,/root/StrokeDataset/Bleeding/MASK/10271.npy
40,/root/StrokeDataset/Bleeding/PNG/10276.png,/root/StrokeDataset/Bleeding/MASK/10276.npy
41,/root/StrokeDataset/Bleeding/PNG/10278.png,/root/StrokeDataset/Bleeding/MASK/10278.npy
42,/root/StrokeDataset/Bleeding/PNG/10297.png,/root/StrokeDataset/Bleeding/MASK/10297.npy
43,/root/StrokeDataset/Bleeding/PNG/10305.png,/root/StrokeDataset/Bleeding/MASK/10305.npy
44,/root/StrokeDataset/Bleeding/PNG/10309.png,/root/StrokeDataset/Bleeding/MASK/10309.npy
