,PNG,MASK
0,/root/StrokeDataset/Ischemia/PNG/10003.png,/root/StrokeDataset/Ischemia/MASK/10003.npy
1,/root/StrokeDataset/Ischemia/PNG/10017.png,/root/StrokeDataset/Ischemia/MASK/10017.npy
2,/root/StrokeDataset/Ischemia/PNG/10024.png,/root/StrokeDataset/Ischemia/MASK/10024.npy
3,/root/StrokeDataset/Ischemia/PNG/10028.png,/root/StrokeDataset/Ischemia/MASK/10028.npy
4,/root/StrokeDataset/Ischemia/PNG/10038.png,/root/StrokeDataset/Ischemia/MASK/10038.npy
5,/root/StrokeDataset/Ischemia/PNG/10053.png,/root/StrokeDataset/Ischemia/MASK/10053.npy
6,/root/StrokeDataset/Ischemia/PNG/10059.png,/root/StrokeDataset/Ischemia/MASK/10059.npy
7,/root/StrokeDataset/Ischemia/PNG/10060.png,/root/StrokeDataset/Ischemia/MASK/10060.npy
8,/root/StrokeDataset/Ischemia/PNG/10062.png,/root/StrokeDataset/Ischemia/MASK/10062.npy
9,/root/StrokeDataset/Ischemia/PNG/10072.png,/root/StrokeDataset/Ischemia/MASK/10072.npy
10,/root/StrokeDataset/Ischemia/PNG/10073.png,/root/StrokeDataset/Ischemia/MASK/10073.npy
11,/root/StrokeDataset/Ischemia/PNG/10077.png,/root/StrokeDataset/Ischemia/MASK/10077.npy
12,/root/StrokeDataset/Ischemia/PNG/10088.png,/root/StrokeDataset/Ischemia/MASK/10088.npy
13,/root/StrokeDataset/Ischemia/PNG/10095.png,/root/StrokeDataset/Ischemia/MASK/10095.npy
14,/root/StrokeDataset/Ischemia/PNG/10101.png,/root/StrokeDataset/Ischemia/MASK/10101.npy
15,/root/StrokeDataset/Ischemia/PNG/10105.png,/root/StrokeDataset/Ischemia/MASK/10105.npy
16,/root/StrokeDataset/Ischemia/PNG/10108.png,/root/StrokeDataset/Ischemia/MASK/10108.npy
17,/root/StrokeDataset/Ischemia/PNG/10123.png,/root/StrokeDataset/Ischemia/MASK/10123.npy
18,/root/StrokeDataset/Ischemia/PNG/10145.png,/root/StrokeDataset/Ischemia/MASK/10145.npy
19,/root/StrokeDataset/Ischemia/PNG/10151.png,/root/StrokeDataset/Ischemia/MASK/10151.npy
20,/root/StrokeDataset/Ischemia/PNG/10153.png,/root/StrokeDataset/Ischemia/MASK/10153.npy
21,/root/StrokeDataset/Ischemia/PNG/10158.png,/root/StrokeDataset/Ischemia/MASK/10158.npy
22,/root/StrokeDataset/Ischemia/PNG/10160.png,/root/StrokeDataset/Ischemia/MASK/10160.npy
23,/root/StrokeDataset/Ischemia/PNG/10164.png,/root/StrokeDataset/Ischemia/MASK/10164.npy
24,/root/StrokeDataset/Ischemia/PNG/10179.png,/root/StrokeDataset/Ischemia/MASK/10179.npy
25,/root/StrokeDataset/Ischemia/PNG/10181.png,/root/StrokeDataset/Ischemia/MASK/10181.npy
26,/root/StrokeDataset/Ischemia/PNG/10187.png,/root/StrokeDataset/Ischemia/MASK/10187.npy
27,/root/StrokeDataset/Ischemia/PNG/10188.png,/root/StrokeDataset/Ischemia/MASK/10188.npy
28,/root/StrokeDataset/Ischemia/PNG/10202.png,/root/StrokeDataset/Ischemia/MASK/10202.npy
29,/root/StrokeDataset/Ischemia/PNG/10206.png,/root/StrokeDataset/Ischemia/MASK/10206.npy
30,/root/StrokeDataset/Ischemia/PNG/10209.png,/root/StrokeDataset/Ischemia/MASK/10209.npy
31,/root/StrokeDataset/Ischemia/PNG/10227.png,/root/StrokeDataset/Ischemia/MASK/10227.npy
